time	syntax_penn_tok1	syntax_penn_tok2	syntax_penn_lem1	syntax_penn_lem2	lexical_tok1	lexical_tok2	lexical_lem1	lexical_lem2	cosine_semanticL	partner_direction	utterance_length1	utterance_length2	condition_info
43	0.375	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.5925882167844653	MOT>CHI	4	8	time1-time1-condTD
44	0.5773502691896258	0.0	0.5773502691896258	0.0	0.0	0.0	0.0	0.0	0.5790335110057198	CHI>MOT	8	3	time1-time1-condTD
45	0.40824829046386296	0.0	0.40824829046386296	0.0	0.0	0.0	0.0	0.0	0.15665285889352354	MOT>CHI	3	2	time1-time1-condTD
46	0.31622776601683794	0.0	0.5345224838248487	0.0	0.0	0.0	0.0	0.0	0.18330926925137514	CHI>MOT	2	5	time1-time1-condTD
47	0.4472135954999579	0.2886751345948129	0.1889822365046136	0.0	0.0	0.0	0.0	0.0	0.2825454720020588	MOT>CHI	5	4	time1-time1-condTD
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44828334584724516	CHI>MOT	4	2	time1-time1-condTD
49	0.2357022603955158	0.0	0.18257418583505533	0.0	0.0	0.0	0.0	0.0	0.362684046997477	MOT>CHI	2	7	time1-time1-condTD
50	0.4714045207910316	0.0	0.7302967433402213	0.4082482904638631	0.0	0.0	0.0	0.0	0.3696024894643666	CHI>MOT	7	2	time1-time1-condTD
51	0.4714045207910316	0.0	0.6396021490668313	0.0	0.0	0.0	0.0	0.0	0.32832000777349757	MOT>CHI	2	7	time1-time1-condTD
52	0.3779644730092272	0.0	0.30151134457776363	0.0	0.0	0.0	0.0	0.0	0.3185793024653736	CHI>MOT	7	7	time1-time1-condTD
53	0.59336610396393	0.05555555555555555	0.5505977612893483	0.0	0.18070158058105024	0.0	0.22271770159368698	0.0	0.6965526355065669	MOT>CHI	7	44	time1-time1-condTD
54	0.14071950894605836	0.09622504486493763	0.0	0.09622504486493763	0.13801311186847084	0.0	0.2721655269759087	0.0	0.5652951907373227	CHI>MOT	44	3	time1-time1-condTD
55	0.25031308716087947	0.0	0.2317137785453969	0.0	0.0	0.0	0.06666666666666667	0.0	0.5074138917835318	MOT>CHI	3	45	time1-time1-condTD
56	0.6213968683154509	0.14824986333222026	0.7102658741205988	0.2396169191492615	0.06405126152203486	0.0	0.14002800840280097	0.04166666666666667	0.39708055546305776	CHI>MOT	45	13	time1-time1-condTD
57	0.42640143271122083	0.0	0.3535533905932738	0.0	0.0	0.0	0.0	0.0	0.23433960817146282	MOT>CHI	13	4	time1-time1-condTD
